Jack,JONES,Third,Sun Prairie,Milo
Harry,WILLIAMS,First,McFarland,Teddy
Jacob,TAYLOR,Fourth,Windsor,Buddy
Charlie,BROWN,Park,Monona,Alfie
Thomas,DAVIES,Fifth,Waunakee,Max
George,EVANS,Main,Madison,Charlie
Oscar,WILSON,Sixth,Sun Prairie,Bailey
James,THOMAS,Oak,McFarland,Reggie
William,JOHNSON,Seventh,Windsor,Bruno
Jake,ROBERTS,Pine,Monona,Hugo
Connor,ROBINSON,Maple,Waunakee,Luna
Callum,THOMPSON,Cedar,Madison,Bella
Jacob,WRIGHT,Eighth,Sun Prairie,Lola
Kyle,WALKER,Elm,McFarland,Poppy
Joe,WHITE,View,Windsor,Daisy
Reece,EDWARDS,Washington,Monona,Coco
Rhys,HUGHES,Ninth,Waunakee,Ruby
Charlie,GREEN,Lake,Madison,Molly
Damian,HALL,Hill,Sun Prairie,Rosie
Noah,LEWIS,High,McFarland,Willow
Liam,HARRIS,Station,Windsor,Milo
Mason,CLARKE,Main,Monona,Teddy
Jacob,PATEL,Park,Waunakee,Buddy
William,JACKSON,Church,Madison,Alfie
Ethan,WOOD,London,Sun Prairie,Max
Michael,TURNER,Victoria,McFarland,Charlie
Alexander,MARTIN,Green,Windsor,Bailey
James,COOPER,Manor,Monona,Reggie
Daniel,HILL,Park,Waunakee,Bruno
James,WARD,Queens,Madison,Hugo
John,MORRIS,Grange,Sun Prairie,Luna
Robert,MOORE,Kings,McFarland,Bella
Michael,CLARK,Kingsway,Windsor,Lola
William,LEE,Windsor,Monona,Poppy
David,KING,Alexander,Waunakee,Daisy
Richard,BAKER,York,Madison,Coco
Joseph,HARRISON,Broadway,Sun Prairie,Ruby
Charles,MORGAN,Springfield,McFarland,Molly
Thomas,ALLEN,Richmond,Windsor,Rosie
Larry,JOHNSON,Taylor,Monona,Willow
